sample,type,name,val
0,INT,0,0.054542
0,INT,1,0.118029
0,INT,2,0.098714
0,INT,3,0.135542
0,INT,4,0.077869
0,INT,5,0.029336
0,INT,6,0.078139
0,INT,7,0.093912
0,INT,8,0.038908
0,INT,9,0.073073
0,INT,10,0.032426
0,INT,11,0.029887
0,INT,12,0.045089
0,INT,13,0.048348
0,INT,14,0.046187
0,SEQ,1,0.176171
0,SEQ,0,0.176395
0,SEQ,repeat,0.054568
0,SEQ,append,0.069175
0,SEQ,swap,0.193352
0,SEQ,delete,0.101768
0,SEQ,invert,0.108686
0,SEQ,cut,0.067557
0,SEQ,from_seq,0.052328
1,INT,0,0.054129
1,INT,1,0.117284
1,INT,2,0.100317
1,INT,3,0.135684
1,INT,4,0.078520
1,INT,5,0.029203
1,INT,6,0.079137
1,INT,7,0.094262
1,INT,8,0.038396
1,INT,9,0.073054
1,INT,10,0.032030
1,INT,11,0.029667
1,INT,12,0.044419
1,INT,13,0.047952
1,INT,14,0.045946
1,SEQ,1,0.175285
1,SEQ,0,0.177207
1,SEQ,repeat,0.055020
1,SEQ,append,0.069513
1,SEQ,swap,0.191825
1,SEQ,delete,0.102925
1,SEQ,invert,0.108867
1,SEQ,cut,0.067454
1,SEQ,from_seq,0.051904
2,INT,0,0.054240
2,INT,1,0.116850
2,INT,2,0.100759
2,INT,3,0.134548
2,INT,4,0.078331
2,INT,5,0.029244
2,INT,6,0.078953
2,INT,7,0.094027
2,INT,8,0.038942
2,INT,9,0.073818
2,INT,10,0.032067
2,INT,11,0.029761
2,INT,12,0.044348
2,INT,13,0.047917
2,INT,14,0.046194
2,SEQ,1,0.176607
2,SEQ,0,0.176992
2,SEQ,repeat,0.055377
2,SEQ,append,0.069577
2,SEQ,swap,0.188843
2,SEQ,delete,0.103607
2,SEQ,invert,0.109502
2,SEQ,cut,0.067501
2,SEQ,from_seq,0.051994
3,INT,0,0.054786
3,INT,1,0.117061
3,INT,2,0.101585
3,INT,3,0.136006
3,INT,4,0.077789
3,INT,5,0.028693
3,INT,6,0.079362
3,INT,7,0.093024
3,INT,8,0.038449
3,INT,9,0.073452
3,INT,10,0.032219
3,INT,11,0.029268
3,INT,12,0.044768
3,INT,13,0.047233
3,INT,14,0.046304
3,SEQ,1,0.176933
3,SEQ,0,0.177421
3,SEQ,repeat,0.054705
3,SEQ,append,0.069593
3,SEQ,swap,0.190157
3,SEQ,delete,0.103503
3,SEQ,invert,0.109536
3,SEQ,cut,0.066318
3,SEQ,from_seq,0.051833
4,INT,0,0.055114
4,INT,1,0.115488
4,INT,2,0.101301
4,INT,3,0.135088
4,INT,4,0.078141
4,INT,5,0.029220
4,INT,6,0.079322
4,INT,7,0.093093
4,INT,8,0.039056
4,INT,9,0.074279
4,INT,10,0.032588
4,INT,11,0.029449
4,INT,12,0.044465
4,INT,13,0.046989
4,INT,14,0.046408
4,SEQ,1,0.176199
4,SEQ,0,0.178393
4,SEQ,repeat,0.054106
4,SEQ,append,0.069608
4,SEQ,swap,0.187539
4,SEQ,delete,0.103988
4,SEQ,invert,0.111497
4,SEQ,cut,0.066702
4,SEQ,from_seq,0.051968
5,INT,0,0.053981
5,INT,1,0.114339
5,INT,2,0.094221
5,INT,3,0.131459
5,INT,4,0.080383
5,INT,5,0.031841
5,INT,6,0.078449
5,INT,7,0.092879
5,INT,8,0.039802
5,INT,9,0.074295
5,INT,10,0.034176
5,INT,11,0.033308
5,INT,12,0.043663
5,INT,13,0.047864
5,INT,14,0.049341
5,SEQ,1,0.175581
5,SEQ,0,0.177845
5,SEQ,repeat,0.054513
5,SEQ,append,0.068883
5,SEQ,swap,0.183681
5,SEQ,delete,0.105782
5,SEQ,invert,0.114108
5,SEQ,cut,0.068583
5,SEQ,from_seq,0.051025
6,INT,0,0.053390
6,INT,1,0.115742
6,INT,2,0.091189
6,INT,3,0.125368
6,INT,4,0.083222
6,INT,5,0.030433
6,INT,6,0.079729
6,INT,7,0.091025
6,INT,8,0.042752
6,INT,9,0.070447
6,INT,10,0.032930
6,INT,11,0.035379
6,INT,12,0.045184
6,INT,13,0.051167
6,INT,14,0.052042
6,SEQ,1,0.171792
6,SEQ,0,0.187115
6,SEQ,repeat,0.051451
6,SEQ,append,0.072790
6,SEQ,swap,0.174629
6,SEQ,delete,0.108258
6,SEQ,invert,0.107835
6,SEQ,cut,0.072563
6,SEQ,from_seq,0.053566
7,INT,0,0.050120
7,INT,1,0.100776
7,INT,2,0.100362
7,INT,3,0.137476
7,INT,4,0.091208
7,INT,5,0.029408
7,INT,6,0.090933
7,INT,7,0.076643
7,INT,8,0.040955
7,INT,9,0.085021
7,INT,10,0.030198
7,INT,11,0.036680
7,INT,12,0.036336
7,INT,13,0.047493
7,INT,14,0.046392
7,SEQ,1,0.142873
7,SEQ,0,0.172827
7,SEQ,repeat,0.051502
7,SEQ,append,0.094968
7,SEQ,swap,0.213081
7,SEQ,delete,0.077570
7,SEQ,invert,0.116037
7,SEQ,cut,0.074085
7,SEQ,from_seq,0.057058
8,INT,0,0.049858
8,INT,1,0.105515
8,INT,2,0.097968
8,INT,3,0.136978
8,INT,4,0.090955
8,INT,5,0.030928
8,INT,6,0.087976
8,INT,7,0.078871
8,INT,8,0.040719
8,INT,9,0.086141
8,INT,10,0.032430
8,INT,11,0.033503
8,INT,12,0.038746
8,INT,13,0.044246
8,INT,14,0.045165
8,SEQ,1,0.153956
8,SEQ,0,0.136430
8,SEQ,repeat,0.041860
8,SEQ,append,0.098271
8,SEQ,swap,0.209429
8,SEQ,delete,0.084182
8,SEQ,invert,0.122755
8,SEQ,cut,0.080818
8,SEQ,from_seq,0.072299
9,INT,0,0.045799
9,INT,1,0.103676
9,INT,2,0.117274
9,INT,3,0.126296
9,INT,4,0.094703
9,INT,5,0.024749
9,INT,6,0.082050
9,INT,7,0.079598
9,INT,8,0.039097
9,INT,9,0.090400
9,INT,10,0.031450
9,INT,11,0.033384
9,INT,12,0.045830
9,INT,13,0.039270
9,INT,14,0.046425
9,SEQ,1,0.144514
9,SEQ,0,0.136660
9,SEQ,repeat,0.037679
9,SEQ,append,0.127725
9,SEQ,swap,0.227641
9,SEQ,delete,0.069979
9,SEQ,invert,0.108111
9,SEQ,cut,0.073759
9,SEQ,from_seq,0.073933
