from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,2,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,6,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,8,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(swap(swap(delete(delete(swap(from_seq 4) 6) 2) 14) 8) 6) repeat('0')),-42.849434,16,INT,9,0
