participant, training, transfer, similarity, ntrans
A1MYDAL453CN5Q,aaaabababababab,ababbababbababb,2,14
A1DKVUTOBPQH11,aaaabababababab,ababbababbababb,2,14
A3RS7UCO7CQ74R,aaaabababababab,ababbababbababb,4,14
A109MLAWERUIBG,aaaabababababab,ababbababbababb,1,14
A39YBLQYIUBR76,aaaabababababab,ababbababbababb,1,14
A3AFC26CB0AXMI,aaaabababababab,ababbababbababb,4,14
A3L2UB07EZJAMD,aaaabababababab,ababbababbababb,2,14
A3MD34XEB4H6JF,aaaabababababab,ababbababbababb,2,14
A10DEO061A6L3O,aaaabababababab,ababbababbababb,4,14
A38TZK07ON180S,aaaabababababab,ababbababbababb,4,14
A8TK3JACM5EM,aaaabababababab,ababbababbababb,4,14
A2S8ZTPKX3B928,aaaabababababab,ababbababbababb,2,14
A3RHGIM99R25Q9,aaaabababababab,ababbababbababb,4,14
A3RHGIM99R25Q9,aaaabababababab,ababbababbababb,4,14
A2WCXJZEXXR60A,aaaabababababab,ababbababbababb,2,14
A4J4GGMKJ68L0,aaaabababababab,ababbababbababb,4,14
A12R2U6TBB3OOG,aaaabababababab,ababbababbababb,2,14
A1DKVUTOBPQH11,abaabaaabaaaaba,bbbbbababababab,1,14
A1OZPLHNIU1519,abaabaaabaaaaba,bbbbbababababab,2,14
A1OZPLHNIU1519,abaabaaabaaaaba,bbbbbababababab,1,14
A39YBLQYIUBR76,abaabaaabaaaaba,bbbbbababababab,1,14
A340UGIDGIF4W6,abaabaaabaaaaba,bbbbbababababab,2,14
A2OTDMCV8CZWML,abaabaaabaaaaba,bbbbbababababab,2,14
A3FJE9AUW0O41D,abaabaaabaaaaba,bbbbbababababab,2,14
A3L2UB07EZJAMD,abaabaaabaaaaba,bbbbbababababab,1,14
A29HDBGSELFSUY,abaabaaabaaaaba,bbbbbababababab,1,14
A1X84T4EFW04GZ,abaabaaabaaaaba,bbbbbababababab,2,14
A1X84T4EFW04GZ,abaabaaabaaaaba,bbbbbababababab,2,14
A2LRC60NMMJHEW,abaabaaabaaaaba,bbbbbababababab,2,14
AA7ASGQEOMKEZ,abaabaaabaaaaba,bbbbbababababab,1,14
A8TK3JACM5EM,abaabaaabaaaaba,bbbbbababababab,2,14
A1ZB2NY0F9QNP0,abaabaaabaaaaba,bbbbbababababab,2,14
A1WOV2JIV5I9VE,abaabaaabaaaaba,bbbbbababababab,2,14
A3RHGIM99R25Q9,abaabaaabaaaaba,bbbbbababababab,2,14
A2OVX9UW5WANQE,abaabaaabaaaaba,bbbbbababababab,3,14
A2WCXJZEXXR60A,abaabaaabaaaaba,bbbbbababababab,1,14
A4J4GGMKJ68L0,abaabaaabaaaaba,bbbbbababababab,1,14
A3KVNVHIYT3JI8,abaabaaabaaaaba,bbbbbababababab,4,14
A4IH4CO046EV3,abaabaaabaaaaba,bbbbbababababab,1,14
A21ZMR7O42OSMI,babaababaababaa,aaaaaabbbbbbbbb,2,11
A2TBXASXZIRNNW,babaababaababaa,aaaaaabbbbbbbbb,2,11
A2OTDMCV8CZWML,babaababaababaa,aaaaaabbbbbbbbb,2,11
AETIZKQNUSBLB,babaababaababaa,aaaaaabbbbbbbbb,2,11
A3FAH5S2RGZ5AK,babaababaababaa,aaaaaabbbbbbbbb,3,11
A3FAH5S2RGZ5AK,babaababaababaa,aaaaaabbbbbbbbb,4,11
A1U6A617Q95MTZ,babaababaababaa,aaaaaabbbbbbbbb,1,11
A1X84T4EFW04GZ,babaababaababaa,aaaaaabbbbbbbbb,4,11
A1S3KHENQOCCVE,babaababaababaa,aaaaaabbbbbbbbb,2,11
A245RS8249R2TA,babaababaababaa,aaaaaabbbbbbbbb,1,11
A1WOV2JIV5I9VE,babaababaababaa,aaaaaabbbbbbbbb,2,11
A4J4GGMKJ68L0,babaababaababaa,aaaaaabbbbbbbbb,1,11
A4J4GGMKJ68L0,babaababaababaa,aaaaaabbbbbbbbb,1,11
A3KVNVHIYT3JI8,babaababaababaa,aaaaaabbbbbbbbb,4,11
A4IH4CO046EV3,babaababaababaa,aaaaaabbbbbbbbb,1,11
A4IH4CO046EV3,babaababaababaa,aaaaaabbbbbbbbb,1,11
A4IH4CO046EV3,babaababaababaa,aaaaaabbbbbbbbb,1,11
A2WGW5Y3ZFBDEC,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A3AFC26CB0AXMI,bbaaaabbaaaabba,aaaaaabbbbbbbbb,2,9
A3AFC26CB0AXMI,bbaaaabbaaaabba,aaaaaabbbbbbbbb,2,9
A1U6A617Q95MTZ,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A3FBV53GPOAG8X,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A29HDBGSELFSUY,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A29HDBGSELFSUY,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A1DDBGQDMZZ1VW,bbaaaabbaaaabba,aaaaaabbbbbbbbb,3,9
AA7ASGQEOMKEZ,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A2GAQZAZWV01PU,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A2GAQZAZWV01PU,bbaaaabbaaaabba,aaaaaabbbbbbbbb,2,9
A1F1OZ54G177D8,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A3RHGIM99R25Q9,bbaaaabbaaaabba,aaaaaabbbbbbbbb,2,9
A3RHGIM99R25Q9,bbaaaabbaaaabba,aaaaaabbbbbbbbb,2,9
A2OVX9UW5WANQE,bbaaaabbaaaabba,aaaaaabbbbbbbbb,2,9
A34VY22YEREOOI,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A1HN4550TIXQBZ,bbaaaabbaaaabba,aaaaaabbbbbbbbb,1,9
A12R2U6TBB3OOG,bbaaaabbaaaabba,aaaaaabbbbbbbbb,2,9
A1K8QNLYYYX21W,bbaaaabbaaaabba,aaaaaabbbbbbbbb,5,9
A1DKVUTOBPQH11,bbaaaabbaaaabba,ababbababbababb,2,10
A2WGW5Y3ZFBDEC,bbaaaabbaaaabba,ababbababbababb,3,10
A2WGW5Y3ZFBDEC,bbaaaabbaaaabba,ababbababbababb,3,10
A39YBLQYIUBR76,bbaaaabbaaaabba,ababbababbababb,3,10
A3AFC26CB0AXMI,bbaaaabbaaaabba,ababbababbababb,2,10
A3AFC26CB0AXMI,bbaaaabbaaaabba,ababbababbababb,2,10
A7KLTVEIASF4J,bbaaaabbaaaabba,ababbababbababb,3,10
A7KLTVEIASF4J,bbaaaabbaaaabba,ababbababbababb,4,10
A3QEVFM3UD67BA,bbaaaabbaaaabba,ababbababbababb,2,10
A3QEVFM3UD67BA,bbaaaabbaaaabba,ababbababbababb,4,10
A3FJE9AUW0O41D,bbaaaabbaaaabba,ababbababbababb,2,10
A3MD34XEB4H6JF,bbaaaabbaaaabba,ababbababbababb,2,10
A3FBV53GPOAG8X,bbaaaabbaaaabba,ababbababbababb,1,10
A2LRC60NMMJHEW,bbaaaabbaaaabba,ababbababbababb,3,10
AA7ASGQEOMKEZ,bbaaaabbaaaabba,ababbababbababb,1,10
A8TK3JACM5EM,bbaaaabbaaaabba,ababbababbababb,4,10
A34VY22YEREOOI,bbaaaabbaaaabba,ababbababbababb,1,10
A12R2U6TBB3OOG,bbaaaabbaaaabba,ababbababbababb,4,10
A1MYDAL453CN5Q,aaabaaabaaabaaa,aabaabaabaabaab,4,6
A1MYDAL453CN5Q,aaabaaabaaabaaa,aabaabaabaabaab,4,6
A3MD34XEB4H6JF,aaabaaabaaabaaa,aabaabaabaabaab,4,6
A29HDBGSELFSUY,aaabaaabaaabaaa,aabaabaabaabaab,4,6
A1F1OZ54G177D8,aaabaaabaaabaaa,aabaabaabaabaab,4,6
A2DXSHR0ZWHIYD,aaabaaabaaabaaa,aabaabaabaabaab,2,6
A1WOV2JIV5I9VE,aaabaaabaaabaaa,aabaabaabaabaab,4,6
AWCO7MG0BHSTQ,aaabaaabaaabaaa,aabaabaabaabaab,2,6
A2OVX9UW5WANQE,aaabaaabaaabaaa,aabaabaabaabaab,4,6
A3KVNVHIYT3JI8,aaabaaabaaabaaa,aabaabaabaabaab,4,6
A1MYDAL453CN5Q,bbbbaaaaaaaaaaa,aabaabaabaabaab,2,9
A21SIPO89DP66I,bbbbaaaaaaaaaaa,aabaabaabaabaab,1,9
A2WGW5Y3ZFBDEC,bbbbaaaaaaaaaaa,aabaabaabaabaab,2,9
A3RS7UCO7CQ74R,bbbbaaaaaaaaaaa,aabaabaabaabaab,4,9
A3W24IE6P9O302,bbbbaaaaaaaaaaa,aabaabaabaabaab,5,9
A3W24IE6P9O302,bbbbaaaaaaaaaaa,aabaabaabaabaab,5,9
A1G187YBG0DVMQ,bbbbaaaaaaaaaaa,aabaabaabaabaab,3,9
A1G187YBG0DVMQ,bbbbaaaaaaaaaaa,aabaabaabaabaab,2,9
ADGQOL6YC087W,bbbbaaaaaaaaaaa,aabaabaabaabaab,1,9
AETIZKQNUSBLB,bbbbaaaaaaaaaaa,aabaabaabaabaab,1,9
