consistent, condition, timestep, subject, correct, which
0, aaaabababababab, 0, 0, 1, 0
0, ababbababbababb, 0, 0, 0, 1
0, aaaabababababab, 1, 0, 1, 0
0, ababbababbababb, 1, 0, 0, 1
0, aaaabababababab, 2, 0, 0, 0
0, ababbababbababb, 2, 0, 1, 1
0, aaaabababababab, 3, 0, 1, 0
0, ababbababbababb, 3, 0, 0, 1
0, aaaabababababab, 4, 0, 0, 0
0, ababbababbababb, 4, 0, 0, 1
0, aaaabababababab, 5, 0, 0, 0
0, ababbababbababb, 5, 0, 1, 1
0, aaaabababababab, 6, 0, 0, 0
0, ababbababbababb, 6, 0, 0, 1
0, aaaabababababab, 7, 0, 0, 0
0, ababbababbababb, 7, 0, 1, 1
0, aaaabababababab, 8, 0, 1, 0
0, ababbababbababb, 8, 0, 0, 1
0, aaaabababababab, 9, 0, 1, 0
0, ababbababbababb, 9, 0, 0, 1
0, aaaabababababab, 10, 0, 1, 0
0, ababbababbababb, 10, 0, 0, 1
0, aaaabababababab, 11, 0, 1, 0
0, ababbababbababb, 11, 0, 0, 1
0, aaaabababababab, 12, 0, 1, 0
0, ababbababbababb, 12, 0, 1, 1
0, aaaabababababab, 13, 0, 0, 0
0, ababbababbababb, 13, 0, 1, 1
0, aaaabababababab, 14, 0, 0, 0
0, ababbababbababb, 14, 0, 0, 1
0, aaaabababababab, 0, 1, 1, 0
0, ababbababbababb, 0, 1, 1, 1
0, aaaabababababab, 1, 1, 0, 0
0, ababbababbababb, 1, 1, 0, 1
0, aaaabababababab, 2, 1, 0, 0
0, ababbababbababb, 2, 1, 1, 1
0, aaaabababababab, 3, 1, 0, 0
0, ababbababbababb, 3, 1, 1, 1
0, aaaabababababab, 4, 1, 0, 0
0, ababbababbababb, 4, 1, 0, 1
0, aaaabababababab, 5, 1, 0, 0
0, ababbababbababb, 5, 1, 1, 1
0, aaaabababababab, 6, 1, 1, 0
0, ababbababbababb, 6, 1, 1, 1
0, aaaabababababab, 7, 1, 0, 0
0, ababbababbababb, 7, 1, 0, 1
0, aaaabababababab, 8, 1, 1, 0
0, ababbababbababb, 8, 1, 0, 1
0, aaaabababababab, 9, 1, 1, 0
0, ababbababbababb, 9, 1, 0, 1
0, aaaabababababab, 10, 1, 1, 0
0, ababbababbababb, 10, 1, 1, 1
0, aaaabababababab, 11, 1, 1, 0
0, ababbababbababb, 11, 1, 1, 1
0, aaaabababababab, 12, 1, 1, 0
0, ababbababbababb, 12, 1, 1, 1
0, aaaabababababab, 13, 1, 1, 0
0, ababbababbababb, 13, 1, 1, 1
0, aaaabababababab, 14, 1, 1, 0
0, ababbababbababb, 14, 1, 1, 1
0, aaaabababababab, 0, 2, 1, 0
0, ababbababbababb, 0, 2, 1, 1
0, aaaabababababab, 1, 2, 0, 0
0, ababbababbababb, 1, 2, 0, 1
0, aaaabababababab, 2, 2, 1, 0
0, ababbababbababb, 2, 2, 1, 1
0, aaaabababababab, 3, 2, 1, 0
0, ababbababbababb, 3, 2, 1, 1
0, aaaabababababab, 4, 2, 0, 0
0, ababbababbababb, 4, 2, 0, 1
0, aaaabababababab, 5, 2, 1, 0
0, ababbababbababb, 5, 2, 0, 1
0, aaaabababababab, 6, 2, 0, 0
0, ababbababbababb, 6, 2, 0, 1
0, aaaabababababab, 7, 2, 1, 0
0, ababbababbababb, 7, 2, 0, 1
0, aaaabababababab, 8, 2, 1, 0
0, ababbababbababb, 8, 2, 0, 1
0, aaaabababababab, 9, 2, 1, 0
0, ababbababbababb, 9, 2, 0, 1
0, aaaabababababab, 10, 2, 1, 0
0, ababbababbababb, 10, 2, 1, 1
0, aaaabababababab, 11, 2, 1, 0
0, ababbababbababb, 11, 2, 1, 1
0, aaaabababababab, 12, 2, 1, 0
0, ababbababbababb, 12, 2, 1, 1
0, aaaabababababab, 13, 2, 1, 0
0, ababbababbababb, 13, 2, 1, 1
0, aaaabababababab, 14, 2, 1, 0
0, ababbababbababb, 14, 2, 1, 1
0, aaaabababababab, 0, 3, 0, 0
0, ababbababbababb, 0, 3, 1, 1
0, aaaabababababab, 1, 3, 1, 0
0, ababbababbababb, 1, 3, 0, 1
0, aaaabababababab, 2, 3, 1, 0
0, ababbababbababb, 2, 3, 1, 1
0, aaaabababababab, 3, 3, 1, 0
0, ababbababbababb, 3, 3, 0, 1
0, aaaabababababab, 4, 3, 0, 0
0, ababbababbababb, 4, 3, 0, 1
0, aaaabababababab, 5, 3, 1, 0
0, ababbababbababb, 5, 3, 1, 1
0, aaaabababababab, 6, 3, 0, 0
0, ababbababbababb, 6, 3, 0, 1
0, aaaabababababab, 7, 3, 1, 0
0, ababbababbababb, 7, 3, 1, 1
0, aaaabababababab, 8, 3, 0, 0
0, ababbababbababb, 8, 3, 0, 1
0, aaaabababababab, 9, 3, 1, 0
0, ababbababbababb, 9, 3, 0, 1
0, aaaabababababab, 10, 3, 0, 0
0, ababbababbababb, 10, 3, 1, 1
0, aaaabababababab, 11, 3, 1, 0
0, ababbababbababb, 11, 3, 0, 1
0, aaaabababababab, 12, 3, 0, 0
0, ababbababbababb, 12, 3, 1, 1
0, aaaabababababab, 13, 3, 1, 0
0, ababbababbababb, 13, 3, 0, 1
0, aaaabababababab, 14, 3, 0, 0
0, ababbababbababb, 14, 3, 1, 1
0, aaaabababababab, 0, 4, 1, 0
0, ababbababbababb, 0, 4, 1, 1
0, aaaabababababab, 1, 4, 0, 0
0, ababbababbababb, 1, 4, 1, 1
0, aaaabababababab, 2, 4, 1, 0
0, ababbababbababb, 2, 4, 1, 1
0, aaaabababababab, 3, 4, 0, 0
0, ababbababbababb, 3, 4, 1, 1
0, aaaabababababab, 4, 4, 1, 0
0, ababbababbababb, 4, 4, 0, 1
0, aaaabababababab, 5, 4, 0, 0
0, ababbababbababb, 5, 4, 0, 1
0, aaaabababababab, 6, 4, 0, 0
0, ababbababbababb, 6, 4, 1, 1
0, aaaabababababab, 7, 4, 1, 0
0, ababbababbababb, 7, 4, 1, 1
0, aaaabababababab, 8, 4, 1, 0
0, ababbababbababb, 8, 4, 0, 1
0, aaaabababababab, 9, 4, 1, 0
0, ababbababbababb, 9, 4, 1, 1
0, aaaabababababab, 10, 4, 1, 0
0, ababbababbababb, 10, 4, 1, 1
0, aaaabababababab, 11, 4, 1, 0
0, ababbababbababb, 11, 4, 1, 1
0, aaaabababababab, 12, 4, 1, 0
0, ababbababbababb, 12, 4, 1, 1
0, aaaabababababab, 13, 4, 1, 0
0, ababbababbababb, 13, 4, 1, 1
0, aaaabababababab, 14, 4, 1, 0
0, ababbababbababb, 14, 4, 1, 1
0, aaaabababababab, 0, 5, 1, 0
0, ababbababbababb, 0, 5, 0, 1
0, aaaabababababab, 1, 5, 0, 0
0, ababbababbababb, 1, 5, 0, 1
0, aaaabababababab, 2, 5, 1, 0
0, ababbababbababb, 2, 5, 1, 1
0, aaaabababababab, 3, 5, 1, 0
0, ababbababbababb, 3, 5, 1, 1
0, aaaabababababab, 4, 5, 0, 0
0, ababbababbababb, 4, 5, 0, 1
0, aaaabababababab, 5, 5, 0, 0
0, ababbababbababb, 5, 5, 0, 1
0, aaaabababababab, 6, 5, 0, 0
0, ababbababbababb, 6, 5, 1, 1
0, aaaabababababab, 7, 5, 0, 0
0, ababbababbababb, 7, 5, 1, 1
0, aaaabababababab, 8, 5, 0, 0
0, ababbababbababb, 8, 5, 1, 1
0, aaaabababababab, 9, 5, 1, 0
0, ababbababbababb, 9, 5, 1, 1
0, aaaabababababab, 10, 5, 1, 0
0, ababbababbababb, 10, 5, 1, 1
0, aaaabababababab, 11, 5, 1, 0
0, ababbababbababb, 11, 5, 1, 1
0, aaaabababababab, 12, 5, 1, 0
0, ababbababbababb, 12, 5, 0, 1
0, aaaabababababab, 13, 5, 1, 0
0, ababbababbababb, 13, 5, 0, 1
0, aaaabababababab, 14, 5, 1, 0
0, ababbababbababb, 14, 5, 1, 1
0, aaaabababababab, 0, 6, 1, 0
0, ababbababbababb, 0, 6, 1, 1
0, aaaabababababab, 1, 6, 0, 0
0, ababbababbababb, 1, 6, 1, 1
0, aaaabababababab, 2, 6, 0, 0
0, ababbababbababb, 2, 6, 1, 1
0, aaaabababababab, 3, 6, 1, 0
0, ababbababbababb, 3, 6, 1, 1
0, aaaabababababab, 4, 6, 1, 0
0, ababbababbababb, 4, 6, 0, 1
0, aaaabababababab, 5, 6, 1, 0
0, ababbababbababb, 5, 6, 0, 1
0, aaaabababababab, 6, 6, 1, 0
0, ababbababbababb, 6, 6, 0, 1
0, aaaabababababab, 7, 6, 1, 0
0, ababbababbababb, 7, 6, 0, 1
0, aaaabababababab, 8, 6, 1, 0
0, ababbababbababb, 8, 6, 0, 1
0, aaaabababababab, 9, 6, 1, 0
0, ababbababbababb, 9, 6, 1, 1
0, aaaabababababab, 10, 6, 1, 0
0, ababbababbababb, 10, 6, 1, 1
0, aaaabababababab, 11, 6, 1, 0
0, ababbababbababb, 11, 6, 0, 1
